Value_Suburb,Premium_Suburb,Value_Price,Premium_Price,Discount_Pct
Reservoir,Northcote,705000,1302500,45.9
Glenroy,Moonee Ponds,677500,1240000,45.4
Coburg,Brunswick,944000,1037000,9.0
