Quarter,Median_Price,Mean_Price,Transaction_Count,Median_Price_per_sqm,QoQ_Growth_Pct,Growth_from_Base_Pct
2016Q1,911000,960100,5,4754.0,,-7.0
2016Q2,980000,1176988,563,2602.0,7.6,0.0
2016Q3,1045000,1215134,621,2874.0,6.6,6.6
2016Q4,1050000,1234990,653,2728.0,0.5,7.1
2017Q1,1100000,1275445,315,2842.0,4.8,12.2
2017Q2,1090000,1241916,694,2862.0,-0.9,11.2
2017Q3,1175000,1316401,568,2783.0,7.8,19.9
